127.0.0.1 - - [17/Oct/2025 13:16:27] "HEAD / HTTP/1.1" 200 -
10.2.43.138 - - [17/Oct/2025 13:16:34] "GET / HTTP/1.1" 200 -
10.2.43.138 - - [17/Oct/2025 13:16:34] "GET /static/styles.css HTTP/1.1" 200 -
10.2.43.138 - - [17/Oct/2025 13:16:34] code 404, message File not found
10.2.43.138 - - [17/Oct/2025 13:16:34] "GET /wasm_general_backend_pkg/wasm_general_backend.js HTTP/1.1" 404 -
10.2.43.138 - - [17/Oct/2025 13:16:34] "GET /pkg/wasm_frontend.js HTTP/1.1" 200 -
10.2.43.138 - - [17/Oct/2025 13:16:34] "GET /pkg/wasm_frontend_bg.wasm HTTP/1.1" 200 -
10.2.44.18 - - [17/Oct/2025 13:48:43] "GET / HTTP/1.1" 200 -
10.2.44.18 - - [17/Oct/2025 13:48:46] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 13:49:42] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 13:49:46] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:09] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:13] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:16] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:19] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:22] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:26] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:29] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:32] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:36] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:39] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:42] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:46] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [17/Oct/2025 15:25:49] "GET / HTTP/1.1" 200 -
